"file","tier","source_pdf","source_page","source_url","visual_decision"
"A_core/A01_d625113_p16_i02_501x141.png","A_core","D625113.pdf","16","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A02_d625113_p16_i03_507x63.png","A_core","D625113.pdf","16","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A03_d625113_p22_i01_304x115.png","A_core","D625113.pdf","22","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A04_d625113_p24_i01_327x89.png","A_core","D625113.pdf","24","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A05_d625113_p24_i02_340x91.png","A_core","D625113.pdf","24","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A06_d625113_p32_i00_397x121.png","A_core","D625113.pdf","32","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A07_d625113_p32_i01_397x109.png","A_core","D625113.pdf","32","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A09_d625113_p40_i02_397x104.png","A_core","D625113.pdf","40","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A10_d625113_p42_i00_385x118.png","A_core","D625113.pdf","42","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A11_d625113_p57_i01_539x120.png","A_core","D625113.pdf","57","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A13_d625113_p58_i02_369x151.png","A_core","D625113.pdf","58","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A14_d625113_p58_i03_397x113.png","A_core","D625113.pdf","58","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A15_d625113_p58_i05_397x114.png","A_core","D625113.pdf","58","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A16_d625113_p58_i06_397x137.png","A_core","D625113.pdf","58","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A17_d625113_p59_i00_425x81.png","A_core","D625113.pdf","59","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A18_d625113_p59_i01_397x104.png","A_core","D625113.pdf","59","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A19_d625113_p70_i03_402x73.jpeg","A_core","D625113.pdf","70","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D625113.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A20_d01430115_p16_i02_284x111.jpeg","A_core","D01430115.pdf","16","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01430115.pdf","核心通过：主藤和花叶分支关系相对清楚"
"A_core/A21_d01430115_p65_i02_232x116.jpeg","A_core","D01430115.pdf","65","https://ygx.sxu.edu.cn/db/%E5%AD%A6%E4%BD%8D/D01430115.pdf","核心通过：主藤和花叶分支关系相对清楚"
