trial_id,length_ratio,sweep_depth,child_count,seed,raw_random_digest,budget_hash,primary_control_points_equal,semantic_curve_count_equal,cubic_segment_count_equal,role_widths_equal,total_length_delta,vector_ink_delta,raster_ink_delta,budget_match
L01,0.65,0.22,0,11,6f266d150cbeabef7585e4a6f78d9bf15d5d6e353e7cb51c68d1b595a3176b21,0ad543993cd7fb3cea3018d336d51ab6ed4daf3c216f87a67afd9cb428beb23c,True,True,True,True,0.0,0.0,0.00169005,True
L02,0.65,0.22,1,17,e80464a097157e03ff4ab813656a6d0a02fa510ff9c76fd0fa292476423a2a2c,edae4ccf21487593ddd95e461d6c7da532e2210cabcacdff33dc8a658942585a,True,True,True,True,0.0,0.0,0.00118765,True
L03,0.65,0.22,2,23,12b88e2d4d18f840f8086a03a5799a1d57e47e73a513bba210391de1d69b5b35,c6ee457d9516399ae25d02cf98f546de847b383de5b86bccf5e7e16971d30c3d,True,True,True,True,0.0,0.0,0.0019186,True
L04,0.65,0.32,0,29,7f008ea3946a54bbc716a0568559df8cba7b23609d7bcf1d143e8a69c8479841,4e7afc3cf9761bd5e37f13f07a7b195a0292b05eef8c88428629927e7bf46a12,True,True,True,True,0.0,0.0,0.00101574,True
L05,0.65,0.32,1,31,dee54eef315c363d1cb16a8418f626cd6863cd757f4a4f50ebc8e6c66b3bafd2,de5c8069aff935f6e548ce37ea1a958f6365b1ed4b44d68af59b5c81f6600450,True,True,True,True,0.0,0.0,0.01012206,True
L06,0.65,0.32,2,37,9f9c0a3c522e1712cbd3920ec0bd30b53748b534cea2ee278aa95f2b831e329b,c9904cc09407fe295b98576ce5c38452742dde7d4fe9db397031b793514b544b,True,True,True,True,0.0,0.0,0.00493556,True
L07,0.8,0.22,0,41,03620c4525f7bd7bbadd6dd0bd5e98748b813ac30f393b9a187275a38fff63cc,a76a0e43f50c49195c37aa069884a68a2b6f6dd01ddde454b6efc369a3346eb8,True,True,True,True,0.0,0.0,0.0022309,True
L08,0.8,0.22,1,43,9a69e0e91c74a12cbd02c4f9bc1691cb80177d2b0f773179ca0adb626d996a55,14fb37be149518500c9704143521d125a0c66ad691be0d25f5625efa44ab57da,True,True,True,True,0.0,0.0,0.0108508,True
L09,0.8,0.22,2,47,d73d068ce8184f441e2edb48ff888fdc3317c05ceb8b8da5a14d364a9c6adbe9,21c4a9a970e54002dc69aef112cd6d766343d9408cc279211fdd132ea5005195,True,True,True,True,0.0,0.0,0.0082488,True
L10,0.8,0.32,0,53,80aefd3ff1cdd11cd2b94b0ce81975ff075851f1708db9619b6ea4ebb196802e,b1305b2ae6fc650b3a70ee094f9d05d54a97e49849738eebcc772f92742938ec,True,True,True,True,0.0,0.0,0.0,True
L11,0.8,0.32,1,59,8d4428371b3af77ecc78dea3eabd9030ac4dc6ffdfdaedc0d29ff9574c156b0f,b64c28916791a721e9b031654983c91a26b66ba412b2ee1f0e0147a72edbddac,True,True,True,True,0.0,0.0,0.00268587,True
L12,0.8,0.32,2,61,fd39ab5ba1eab72ddae8c1a8de9c14c050cd59d1b2fc16d777517927a14dde55,10d672a0587c86036dc3e95563a7b5c450e11508ec564813f07db9d022a0a78f,True,True,True,True,0.0,0.0,0.00068004,True
