trial_id,variant,child_count,semantic_curve_count,cubic_segment_count,primary_length,child_total_length,terminal_length,total_length,vector_ink,raster_ink_mass,hard_valid,hard_failure_reasons,geometry_hash
L01,L0,0,2,3,55.898741,0,9.040574,64.939315,177.188826,184.75,True,,5b1741d7704bd9cc117574fa979ed981399df690c859a15c3b71f2c2609e7296
L01,L1,0,2,3,55.898741,0,9.040574,64.939315,177.188826,185.0625,True,,4b088b0d0616b6e6504b19f4edd96972730aab91d88e74cfcfb03507d985a5e8
L02,L0,1,3,4,55.898754,17.23468,8.908721,82.042155,208.072844,211.4375,True,,2b86bc8d290b46fa2dbe44c78df289e52bf0710c4fba02b8e1d916386456c934
L02,L1,1,3,4,55.898754,17.23468,8.908721,82.042155,208.072844,210.6875,True,,d5fcfba121a43b43384754e7d56e54b3b9368b368564a5047336c164874094d4
L03,L0,2,4,5,55.898716,30.196337,9.434233,95.529285,231.955498,230.3125,True,,a2a092f3a4f340d2575307252c38b133279500148307b75f9b13369712eb26f7
L03,L1,2,4,5,55.898716,30.196337,9.434233,95.529285,231.955498,229.5625,True,,e3bc100781bb4e6047b18befe78df081c8fa82982106de155b41c818358b11de
L04,L0,0,2,3,55.898803,0,9.05007,64.948873,177.198983,184.6875,True,,771ae3550a2bbd07f98e06143d6baa989d4c3d22a92f7b1557070f32a736d6f2
L04,L1,0,2,3,55.898803,0,9.05007,64.948873,177.198983,184.5,True,,9185aff86dcc06eeb58b8f26502335faae86034b4d9d669f3e1c99525085e5b2
L05,L0,1,3,4,55.898774,15.705043,9.422422,81.026239,205.858943,207.125,True,,567f37857f6a03f9d477b13a6a3e692f95cec1f0d3df9d69271705318eea258e
L05,L1,1,3,4,55.898774,15.705043,9.422422,81.026239,205.858943,207.125,True,,567f37857f6a03f9d477b13a6a3e692f95cec1f0d3df9d69271705318eea258e
L06,L0,2,4,5,55.898763,29.89156,9.407998,95.19832,231.379494,228.8125,False,unit_clearance:primary:child_2;unit_clearance:child_1:child_2,89b4c9e1760b95e4a3ad40b1d3ec3813acbecb9cafac5c542e900bb359d62c30
L06,L1,2,4,5,55.898763,29.89156,9.407998,95.19832,231.379494,225.1875,False,unit_clearance:primary:child_1;unit_clearance:child_1:child_2,9c5173e72aa3c9c93837ee328ed408d0c22492a2980268489f3b85a241456d3e
L07,L0,0,2,3,68.798463,0,10.510711,79.309174,217.431635,224.375,True,,55b570f549837b86b76c636fd6c49aa9b0d9889b3ac80553af4e19136f34f17b
L07,L1,0,2,3,68.798463,0,10.510711,79.309174,217.431635,223.875,True,,5094a045f1805cb12de8876c285cc0de7d168bdbac1211d028f90bda2ddb5d23
L08,L0,1,3,4,68.79847,19.036363,10.598375,98.433209,251.789158,249.6875,False,unit_clearance:primary:child_1,691ba33386c58c58193a7590a9af8a0d4191ecb508825a5769e9c99b49d490cd
L08,L1,1,3,4,68.79847,19.036363,10.598375,98.433209,251.789158,252.4375,True,,9525bf491ea3dec76e5f3a845cf23dfb5948fe07938063860712bc2f18431ae1
L09,L0,2,4,5,68.798468,35.279824,11.298844,115.377136,281.762874,280.875,False,unit_clearance:child_1:child_2,63ca657a72935bc7a149f195cd1a2e9d8df31e721323d9661caecc719c410402
L09,L1,2,4,5,68.798468,35.279823,11.298844,115.377135,281.762873,279.3125,False,unit_clearance:child_1:child_2,a763d68bf8259e553229af2ee466196eba1e07f9c172a417fa28784810b9d8de
L10,L0,0,2,3,68.798461,0,10.920768,79.719229,217.86219,225.125,True,,3bf472cbd64ff6d8809ecb283269999f8f47a0721bafb15809112af5b3e8f8c6
L10,L1,0,2,3,68.798461,0,10.920768,79.719229,217.86219,225.125,True,,3bf472cbd64ff6d8809ecb283269999f8f47a0721bafb15809112af5b3e8f8c6
L11,L0,1,3,4,68.798519,19.598444,10.663585,99.060547,252.869518,254.125,True,,de916c5a5db49cb71993890fd737245a51e3c28c444f6430982cb0db4515dc64
L11,L1,1,3,4,68.798519,19.598444,10.663585,99.060547,252.869518,254.125,True,,59fe0c96f7286db68106d9603088d1a9848fa9b333f528d12ae4a8304726ae03
L12,L0,2,4,5,68.798486,37.738528,10.898848,117.435862,285.768599,278.25,True,,d8ddcdcc2c40facace2e7437ce6cf577457326915826b91a2b1319e6cc612e25
L12,L1,2,4,5,68.798486,37.738528,10.898848,117.435862,285.768599,276.8125,True,,bfb110796fa43112da184eae0dd26d222ed2ea9b07a5ba8f587e435cda891199
